c0,c1,c2,c3
2426666.9209805462,15467972.750180079,1916613.6563853535,10620284.045553444
2413370.0149757178,15449914.526752714,1907872.5432351502,10589559.274998073
2401262.4809619621,15431777.723867264,1902654.3868021551,10558071.259874254
2394323.6380559695,15413666.842294367,1899151.0292783307,10526824.525130583
2391509.5308342613,15395603.830430459,1895705.086969394,10495401.336530617
2388680.732861558,15377450.153178155,1892045.4704446616,10463852.117238585
2385850.4506358281,15359431.728138372,1888508.7880161125,10432461.142053708
2383030.597317453,15341485.597511051,1885050.1081391859,10401194.437200114
2380218.1235922114,15323570.101666223,1881563.4107362009,10369978.163663877
2389304.2753001605,15305849.497080745,1878074.9997273423,10338820.879863432
2399824.6043320228,15401673.900195958,1910685.7977177282,10461299.902665928
2387371.0920237638,15326745.020854328,1900638.8207163042,10373831.778942427
2375643.4468303793,15272856.894664997,1888843.1218354707,10286430.800041923
2371144.540860048,15255078.880099177,1877871.196411707,10240369.901754744
2368349.6940932702,15237319.087165223,1868071.1168031415,10209403.673430145
2365558.5852086432,15219608.631153008,1862291.6283859562,10178718.168639665
2362776.0030578226,15201938.725780927,1858844.4848168134,10148110.900346331
2360000.3412305331,15184320.201781744,1855408.3681273179,10117566.837165294
2357232.8578377669,15166759.690408722,1851984.8508218455,10087113.902789544
2354472.1396231959,15149242.139952891,1848553.1124848267,10056751.791833203
2351766.9440737208,15131764.059258943,1845135.9599653834,10026438.615252238
2349016.2805963983,15114329.446623396,1841716.8424891608,9996152.0047136061
2346270.8116044365,15096917.897971194,1838302.7975445441,9965939.6884026807
2343532.9039346222,15079544.03232744,1834900.0319247046,9935802.0535568614
2340801.5255600815,15062221.843425777,1831500.9496158499,9905736.0989769213
2338076.1009201603,15044945.60805328,1828118.2866889108,9875752.0119424164
2338656.2701100018,15029496.948470147,1824708.720557468,9850410.7596505396
2334516.3039423404,15013705.92462565,1821403.6193013203,9821375.8364072144
2331840.2475800319,14997257.501228269,1818114.1481345685,9792489.4115023948
2329131.0577191105,14980115.181569552,1814747.7256416394,9762787.8451611381
2326427.6092468877,14963010.526001336,1811387.2635166903,9733145.7579215914
2324047.1030170619,14945943.491686007,1808035.5509739132,9704690.1230207682
2321355.535361398,14928917.638357768,1804690.1740354882,9675194.1715221368
2318669.0170536484,14911974.878783094,1801350.756755119,9645762.0773075093
2316457.4044239144,14895479.146753406,1798022.0267684055,9616402.6989523657
2313816.6474916008,14878568.956826519,1794716.1388316911,9587100.6667035669
2311146.3374083322,14861695.450780313,1791391.7540443973,9557869.5163064897
2308481.7002762142,14844860.548002834,1788115.9547968595,9528707.6170437243
2305822.9443573579,14828067.519661071,1784811.9268033006,9499616.6321947053
2303170.3920119386,14811366.526968928,1781503.759161674,9470680.2253366634
2300523.2885402162,14794644.745407796,1778204.7685051982,9441788.9350054562
2297881.9392454783,14777961.921757771,1774909.8496920969,9412900.2863544393
2295246.1962217973,14761315.604047744,1771623.4586981994,9384076.7044579983
2292616.2336442284,14744707.836440982,1768342.9195001503,9355348.6548040919
2289992.4884113427,14728136.777125863,1765071.4875845688,9326665.6309607439
2287373.9266391839,14711601.908372343,1761803.0345859264,9298047.8958393224
2284761.3364259722,14695103.630822821,1758539.1480712935,9269498.8306998797
2282154.1177906957,14678641.432419101,1755283.3730857365,9241016.7007307485
2279552.3695175098,14662215.360002028,1752036.000239935,9212605.1512894928
2276957.0010836842,14645828.745497499,1748792.0675312253,9184261.3896288928
2274366.5445234962,14629472.919925066,1745553.6602351009,9155980.1122387573
2271781.2500036657,14613154.807490306,1742321.7465707927,9127772.5587519966
2269201.9939413224,14596873.883666666,1739096.8760807051,9099634.2657197379
2266628.0934075443,14580624.949019978,1735874.8042691408,9071629.1881833728
2264070.0420357091,14564413.043208029,1732659.3288849278,9043700.4465298206
2261507.0052677509,14548448.025644159,1733840.0643901355,9015764.8855190147
2259332.6804753034,14574085.702176007,1746757.3032069579,9101695.2555593774
2256779.2946982477,14528384.118449297,1749662.738461589,9048450.2449267339
2254230.5699294405,14513668.64668772,1759233.6946849611,9049568.5640101805
2251687.2823954253,14497848.46952449,1750832.4887987236,9014107.1247799713
